disp_avg,t_cent,daily_average
6.555853522727997e-10,2020-04-27 04:30:00+00:00,7.620266375323866e-10
6.158420932638596e-10,2020-04-27 05:30:00+00:00,7.649478284288524e-10
5.307965027035027e-10,2020-04-27 06:30:00+00:00,7.672641379646468e-10
5.141671638024269e-10,2020-04-27 07:30:00+00:00,7.709268605699453e-10
6.139683215217745e-10,2020-04-27 08:30:00+00:00,7.784319242925835e-10
8.480988156206369e-10,2020-04-27 09:30:00+00:00,7.909013359606937e-10
1.0514703644901864e-09,2020-04-27 10:30:00+00:00,8.062285677512898e-10
1.1736756378435025e-09,2020-04-27 11:30:00+00:00,8.240964642281605e-10
1.2408896302781772e-09,2020-04-27 12:30:00+00:00,8.414447541348792e-10
1.2115563163268055e-09,2020-04-27 13:30:00+00:00,8.575708226269576e-10
1.1696663626362702e-09,2020-04-27 14:30:00+00:00,8.710087857475684e-10
1.1729915071269095e-09,2020-04-27 15:30:00+00:00,8.842566601124481e-10
1.144771918335828e-09,2020-04-27 16:30:00+00:00,8.941757203940672e-10
1.1244592879074903e-09,2020-04-27 17:30:00+00:00,9.026671784008647e-10
1.1356382448612328e-09,2020-04-27 18:30:00+00:00,9.110378531906807e-10
1.13953826073804e-09,2020-04-27 19:30:00+00:00,9.187585667831167e-10
1.1034640029371493e-09,2020-04-27 20:30:00+00:00,9.267986872298069e-10
1.1074813652372713e-09,2020-04-27 21:30:00+00:00,9.358503469891438e-10
1.0617592615923714e-09,2020-04-27 22:30:00+00:00,9.42669748481708e-10
9.944249329683616e-10,2020-04-27 23:30:00+00:00,9.486706348027632e-10
9.37306577740018e-10,2020-04-28 00:30:00+00:00,9.533679472633916e-10
8.90337780963032e-10,2020-04-28 01:30:00+00:00,9.566797524941323e-10
8.775579939408873e-10,2020-04-28 02:30:00+00:00,9.59897737575726e-10
8.616089560378493e-10,2020-04-28 03:30:00+00:00,9.657106937977658e-10
7.676081038848259e-10,2020-04-28 04:30:00+00:00,9.70378308448267e-10
6.921979220486293e-10,2020-04-28 05:30:00+00:00,9.735598013142992e-10
5.907927172160479e-10,2020-04-28 06:30:00+00:00,9.760596435856552e-10
5.646286938991884e-10,2020-04-28 07:30:00+00:00,9.781622073396868e-10
6.644210430674226e-10,2020-04-28 08:30:00+00:00,9.802644040707556e-10
8.682711959051158e-10,2020-04-28 09:30:00+00:00,9.811049199159424e-10
1.0931580849708895e-09,2020-04-28 10:30:00+00:00,9.82841908269305e-10
1.2241175454755416e-09,2020-04-28 11:30:00+00:00,9.8494365442064e-10
1.282788846121149e-09,2020-04-28 12:30:00+00:00,9.866894550807638e-10
1.2781884843036706e-09,2020-04-28 13:30:00+00:00,9.894657954131332e-10
1.1832238997707183e-09,2020-04-28 14:30:00+00:00,9.900306927937352e-10
1.1727264853561365e-09,2020-04-28 15:30:00+00:00,9.90019650219953e-10
1.1776358782374484e-09,2020-04-28 16:30:00+00:00,9.913889818825204e-10
1.17725810379136e-09,2020-04-28 17:30:00+00:00,9.935889325443483e-10
1.1565107214959066e-09,2020-04-28 18:30:00+00:00,9.94458619070793e-10
1.1641109251543791e-09,2020-04-28 19:30:00+00:00,9.954824800881403e-10
1.1410389892313981e-09,2020-04-28 20:30:00+00:00,9.970481045170673e-10
1.1853248242859844e-09,2020-04-28 21:30:00+00:00,1.0002915819774305e-09
1.1058572343828794e-09,2020-04-28 22:30:00+00:00,1.0021289975103682e-09
1.0315298186664898e-09,2020-04-28 23:30:00+00:00,1.0036750344144567e-09
9.714167134658406e-10,2020-04-29 00:30:00+00:00,1.0050962900696993e-09
9.099239063319999e-10,2020-04-29 01:30:00+00:00,1.00591237862674e-09
9.031611290573078e-10,2020-04-29 02:30:00+00:00,1.0069791759232576e-09
8.440196344598826e-10,2020-04-29 03:30:00+00:00,1.0062462875241754e-09
7.850168716392186e-10,2020-04-29 04:30:00+00:00,1.0069716528472752e-09
6.893039851051289e-10,2020-04-29 05:30:00+00:00,1.0068510721412959e-09
6.471949849977795e-10,2020-04-29 06:30:00+00:00,1.0092011666322016e-09
6.003653976279837e-10,2020-04-29 07:30:00+00:00,1.0106901959542346e-09
6.577155495479365e-10,2020-04-29 08:30:00+00:00,1.0104108003909225e-09
8.809750791599564e-10,2020-04-29 09:30:00+00:00,1.0109401288598744e-09
1.0933002209012804e-09,2020-04-29 10:30:00+00:00,1.0109460511903074e-09
1.2239399565744228e-09,2020-04-29 11:30:00+00:00,1.0109386516527608e-09
1.2339258119119335e-09,2020-04-29 12:30:00+00:00,1.0089026918940433e-09
1.2629344469251956e-09,2020-04-29 13:30:00+00:00,1.0082671070032738e-09
1.1822581457604901e-09,2020-04-29 14:30:00+00:00,1.0082268672528474e-09
1.171245821635133e-09,2020-04-29 15:30:00+00:00,1.008165172931139e-09
1.1756214345869277e-09,2020-04-29 16:30:00+00:00,1.008081237779034e-09
1.1533227035415762e-09,2020-04-29 17:30:00+00:00,1.007083929435293e-09
1.1809739878505942e-09,2020-04-29 18:30:00+00:00,1.008103232200072e-09
1.1358204046745387e-09,2020-04-29 19:30:00+00:00,1.0069244605134119e-09
1.1022902604544305e-09,2020-04-29 20:30:00+00:00,1.005309930147705e-09
1.120141393646456e-09,2020-04-29 21:30:00+00:00,1.0025939538710578e-09
1.0837176674174081e-09,2020-04-29 22:30:00+00:00,1.0016714719141632e-09
1.0024021360824296e-09,2020-04-29 23:30:00+00:00,1.0004578184731605e-09
9.205289588998147e-10,2020-04-30 00:30:00+00:00,9.98337495366243e-10
9.216523422503138e-10,2020-04-30 01:30:00+00:00,9.988261801961726e-10
9.097014685781158e-10,2020-04-30 02:30:00+00:00,9.99098694342873e-10
8.555499916817545e-10,2020-04-30 03:30:00+00:00,9.995791258937843e-10
7.826208498646383e-10,2020-04-30 04:30:00+00:00,9.994792916531768e-10
6.682255496797494e-10,2020-04-30 05:30:00+00:00,9.986010235104526e-10
5.631295066458069e-10,2020-04-30 06:30:00+00:00,9.95098295245787e-10
5.925402677060238e-10,2020-04-30 07:30:00+00:00,9.947722481657054e-10
